item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Membina Perpustakaan Sekolah
0337/,020 SUM p,Text,0337/,4/1/1985,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pelayanan Perpustakaan
2058,020 SUM p,Text,2058,3/14/1995,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Perpustakaan Organisasi dan Tatakerjanya
45/93,060 kus m,Text,45/93,4/28/1994,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Menimba Ilmu dari Museum
17/89,028 LAT p,Text,17/89,1/28/1985,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pedoman Ringkas Penyusunan karya Tulis
288,001 SET m,Text,288,12/6/1993,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Memperoleh Inspirasi dari Alam
2641,070.4 PAS b,Text,2641,11/7/1997,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Bagaimana Mengelola Penerbitan Media Sekolah
517,001.2 IST p,Text,517,1/23/1987,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengetahuan Ringkas - I
518,001.2 IST p,Text,518,1/23/1987,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengetahuan Ringkas - II
212,001 NUR k,Text,212,11/3/1984,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kumpulan Fikiran
598,001 TIM a,Text,598,6/30/1988,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Aku Ingin Tahu
1856,001.4 TIM p,Text,1856,7/15/1994,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Seminar Nasional Tentang Pemulung
4889,001 SPU b,Text,4889,8/12/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Bank Ilmu Pengetahuan Mutakhir
284,001 PIR m,Text,284,12/6/1999,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Mengenal Alam Semesta For Beginners
4768,025 BAF p,Text,4768,8/11/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengelolaan Perpustakaan sekolah
3369,028 RAH m,Serial,3369,10/22/2003,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Manfaat klipping Dan Majalah Dinding
5279,020.15 MUS k,Text,5279,9/16/2010,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,KTSP Dasar Pemahaman Dan Pengembangan
5929,004.2 SAL p,Text,5929,2/20/2013,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Panduan Sistem Informasi Akademik Sekolah Berbasis WEB
3622,070.4 FAD t,Text,3622,10/27/2004,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Terampil Wawancara
6847,004.6 ORO l,Text,6847,7/17/2017,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,55 Tip Terbaik Google +
7142,006 RAC m,Text,7142,10/26/2019,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Mudah Menjadi You Tuber Profesional
5722,004.2 REI d,Text,5722,10/31/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Dokumentasi Photoshop
5051,004.2 GUN d,Text,5051,3/18/2010,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Digital Painting With Photoshop
4905,005.3 HIR c,Text,4905,12/4/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,cara Praktis membasmi Virus Ganas Di Komputer
6738,003 TIM t,Text,6738,6/5/2017,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Teknik Cepat Membuat Forum Internet
6268,005 NIN t,Text,6268,6/16/2014,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,7 Jam Belajar Interaktif Word 2010 Untuk Orang awam
7135,070.4 LES f,Serial,7135,10/26/2019,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,feature Tulisan Jurnalistik Yang Kreatif
4751,003 HAR c,Text,4751,6/24/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Cerdas Jelajah Internet
