414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
6860,005 RUM m,Text,6860,17 Juli 2017,,,000-099,,Available,,,,,IDR,,,,makin gaul Dengan Google+
-,006.639 TIM k,Text,-,-,,,000-099,,Available,,,,,IDR,,,,Kumpulan Soal Ujian Nasional Komputer Diklusemas Word Star
7513,070.5 Har p,Text,7513,17-Nov-21,,,000-099,,Available,,,,,IDR,,,,Penulisan Buku Ajar Yang baik Dan Produktif 
4121,005 FIR a,Text,4121,10 Maret 2007,,,000-099,,Available,,,,,IDR,,,,Aplikasi Perkantoran Dengan Microsoft Word 2002 &  Microsoft Excel 2002
5822,070.1 TIM k,Text,5822,7 Mei 2012,,,000-099,,Available,,,,,IDR,,,,Kuark Kelas Olimpiade
7730,028 MAL m,Text,7730,24 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Membangun Generasi Aktif Literasi
-,-,Serial,-,-,,,000-099,,Available,,,,,IDR,,,,Kuasa Doa majalah Rohani Bulanan
,,Text,,-,,,000-099,,Available,,,,,IDR,,,,Kuark Kelas Olimpiade
4927,070.1 TIM d,Text,4927,4 Desember 2009,,,000-099,,Available,,,,,IDR,,,,National Geographic  : Detak Bumi
5605,070.4 TIM w,Text,5605,29-Apr-11,,,000-099,,Available,,,,,IDR,,,,We Have Come To Worship Him
7746,004 PAN i,Text,7746,21 Maret 2023,,,000-099,,Available,,,,,IDR,,,,Informatika Untuk SMP/MTs Kelas VII
5573,031,Reference,5573,3 Maret 2011,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Angkasa Luar
7548,004 RAF s,Text,7548,21 Februari 2022,,,000-099,,Available,,,,,IDR,,,,Squid 
6956,030 AQI e,Reference,6956,25-Sep-18,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Pendidikan & psikologi 
0259,003 CAR c,Text,0259,10 Sgustus 1984,,,000-099,,Available,,,,,IDR,,,,cara Kerja Komputer
-,070. TIM r,Serial,-,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah readers Digest Indonesia
7462,070.1 TIM i,Serial,7462,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari November 2020
7463,070.1 TIM i,Serial,7463,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Desember 2020
7464,070.1 TIM i,Serial,7464,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,majalah Intisari Januari 2021
7465,070.1 TIM i,Serial,7465,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,majalah Intisari April 2021
7467,070.1 TIM i,Serial,7467,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Mei 2021
7466,070.1 TIM i,Serial,7466,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juni 2021
7468,070.1 TIM r,Text,7468,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan April 2021
7469,070.1 TIM r,Text,7469,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Mei 2021
7470,070.1 TIM r,Text,7470,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Juni 2021
7471,070.1 TIM r,Text,7471,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Juli 2021
7171,070 TIM k,Text,7171,28 januari 2020,,,000-099,,Available,,,,,IDR,,,,Kesehatan Menakjubkan!
5704,070.1 CRO p,Text,5704,5 Oktober 2011,,,000-099,,Available,,,,,IDR,,,,National Geographic : Pueblo
5912,070.1 SIM c,Text,5912,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic :Cuaca Ekstrem
5913,070.1 BUR a,Text,5913,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic :Air
5914,070.1 SIM o,Text,5914,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic : Otak
4645,028.5 BUZ m,Text,4645,16 Mei 2009,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Mind Map Untuk Anak 
5917,070 TIM g,Text,5917,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geograpchic : Genetika Dari DNA hingga Domba Dolly
5709,070 TIM g,Text,5709,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geograpchic : Arkeologi Menguak Rahasia Masa lampau : Yunani Kuno
7541,070.1 TIM i,Serial,7541,3 Januari 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Januari 2022
7568,070.1 TIM i,Serial,7568,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari  Februari 2022
7567,070.1 TIM i,Serial,7567,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Maret 2022
7569,070.1 TIM i,Serial,7569,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari April 2022
7570,070.1 TIM i,Serial,7570,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Mei 2022
7571,070.1 TIM i,Serial,7571,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juni 2022
7574,070.1 TIM i,Serial,7574,25 Juli 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juli 2022
7576,070.1 TIM i,Serial,7576,20 Agustus 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Agustus  2022
7652,070.1 TIM i,Serial,7652,8-Sep-22,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari September 2022
7653,070.1 TIM i,Serial,7653,1Oktober 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Oktober 2022
7685,070.1 TIM i,Serial,7685,2-Nov-22,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari November 2022
7720,070.1 TIM i,Serial,7720,6 Februari2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Februari 2023
7745,070.1 T,Serial,7745,13 Maret 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Maret 2023
-,070.1 TIM i,Serial,-,-,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari April  2023
7759,070.1 TIM i,Serial,7759,10 Agustus  2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Agustus 2023
7796,070.1 TIM i,Serial,7796,31 Oktober 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Oktober 2023
7822,070.1 TIM i,Serial,7822,5 Desember 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Desember  2023
7874,006.754 PER b,Text,7874,17-Apr-24,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Jadi Content Creator 
7873,005.36 TIM d,Text,7873,17-Apr-24,,,000-099,,Available,,,,,IDR,,,,255 Tips&Trik Mudah Belajar Microsoft Excel
7883,030 TIM e,Reference,7883,18-Apr-24,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Pencegahan Terorisme
7661,028 SUS s,Text,7661,3 Oktober 2022,,,000-099,,Available,,,,,IDR,,,,Strategi Meraih Nilai A Akreditasi Perpustakaan sekolah
5276,020 SAL m,Text,5276,16-Sep-10,,,000-099,,Available,,,,,IDR,,,,Membangun Perpustakaan DiGITAL
7871,,Serial,7871,5-Apr-24,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Februari 2024
7894,070,Serial,7894,5-Apr-24,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari APRIL 2024
7897,070,Serial,7897,21 Mei 2024,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Mei 2024
,,Serial,,Juni 2014,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Juni 2024
7953,028 TIM t,Text,7953,8-Nov-24,,,000-099,,Available,,,,,IDR,,,,The Unbound Spirits: SMAK St. Albertus Malang
7916,070 TIM n,Text,7916,16 Agustus 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Agustus 2024
7932,070 TIM n,Text,7932,19-Sep-24,,,000-099,,Available,,,,,IDR,,,,National Geographic September 2024
7950,070 TIM n,Text,7950,30 Oktober 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Oktober 2024
7952,070,Text,7952,8-Nov-24,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia November 2024
7968,070,Text,7968,17 Desember 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Desember 2024
7970,070,Text,7970,20 Januari 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Januari 2025
7977,070,Text,7977,5 Februari 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Februari 2025
7738,030.9 WAS e,Reference,7738,28 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Jawa Tengah
7739,030.9 WAS e,Reference,7739,28 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Jawa Timur
6016,070,Text,6016,24 Mei 2013,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Traveler
7999,070,Text,7999,26 Maret 2025,,,000-099,,Available,,,,,IDR,,,,national Geographic Indonesia Maret 2025
8000,070,Text,8000,15-Apr-25,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia April 2025 Edisi Khusus 20 Tahun 
8007,005.1,Text,8007,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Menguasai Pemrograman Arduino Dan Robotik
8010,005.36,Text,8010,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Coreldraw 2019 untuk Pemula
8009,005.369,Text,8009,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Kolaborasi data Antarprogram Microsoft Office 2021
8008,004.64,Text,8008,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Mudah Membuat Aplikasi Android 
8006,030,Reference,8006,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia ilmuwan Fisika Abad 20
8004,030,Reference,8004,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Alam Semesta & Luar Angkasa
7329,004,Text,7329,6-Nov-20,,,000-099,,Available,,,,,IDR,,,,Learning More Formation & Communication Technology 3
8023,70,Text,8023,20 Juni 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Juni 2025
8037,070,Text,8037,14 Juli 2025,,,000-099,,Available,,,,,IDR,,,,National Geograpich Indonesia Juli 2025
8049,070,Text,8049,11 Agustus 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Agustus 2025
8060,070,Text,8060,22-Sep-25,,,000-099,,Available,,,,,IDR,,,,National Geograpich September 2025
8091,006.6,Text,8091,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Buku Pintar (Jadi) Content Creator 
8092,005,Text,8092,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Desain dan Pemograman Drone Cerdas
8094,005,Text,8094,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Koding & Kecerdasan Artifisial untuk kelas SMP 7 SMP/MTs
8095,003,Text,8095,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Koding & Kecerdasan Artifisial untuk kelas SMP 8 SMP/MTs
8096,003,Text,8096,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Kooding & Kecerdasan
8097,031,Reference,8097,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Bali
8098,031,Reference,8098,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Selatan
8099,031,Reference,8099,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Barat 
8100,031,Reference,8100,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia indonesia Provinsi Kalimantan Tengah
8101,031,Reference,8101,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Timur 
8102,031,Reference,8102,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Utara 
8103,031,Reference,8103,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Nusa Tenggara Barat
8104,031,Reference,8104,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Nusa Tenggara Timur
8105,031,Reference,8105,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Papua
8109,030,Reference,8109,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Teknologi Komputer 
6669,153.8 TIM d,Text,6669,23 Mei 2017,,,100-199,,Available,,,,,IDR,,,,200 Tokoh Inspiratif Penemu & Pengubah Dunia
4496,158.2 COV t,Text,4496,8 Mei  2008,,,100-199,,Available,,,,,IDR,,,,The 7 habits Of Highly Effective Teens
4555,158.2 COV t,Text,4555,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,The 8th Habit
7117,150 ELF t,Text,7117,12-Sep-19,,,100-199,,Available,,,,,IDR,,,,Terapi Berpikir Positif
5334,155.2 MIS d,Text,5334,27-Sep-10,,,100-199,,Available,,,,,IDR,,,,Dasyatnya Sidik Jari 
4438,155.2 HAR m,Text,4438,6 Januari 2009,,,100-199,,Available,,,,,IDR,,,,Metode Jitu Meningkatkan Daya Ingat
4562,158.1 KHE k,Text,4562,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Kiat Menjadi Pemenang
5851,154.7 GUN t,Text,5851,14 Juli 2012,,,100-199,,Available,,,,,IDR,,,,The Secret Of Mindset
5069,153 ARM t,Text,5069,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,The Whole - Brain Solution
4686,158.1 GOT m,Text,4686,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kecerdasan Emosional Anak
4903,153.1 BUZ,Text,4903,4 Desember 2009,,,100-199,,Available,,,,,IDR,,,,Buku Pintar Mind Map
6640,128 WIJ i,Text,6640,7-Apr-17,,,100-199,,Available,,,,,IDR,,,,Inspirasi Tanpa Menggurui
5671,158.1 BUR m,Text,5671,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Manage Your Time!
4904,121 WCY d,Text,4904,3-Sep-08,,,100-199,,Available,,,,,IDR,,,,Disiplin Tanpa Teriakan Atau Pukulan
4528,158.4 SOE t,Text,4528,21 Mei 2008,,,100-199,,Available,,,,,IDR,,,,Team Building
4876,158.2 GRA r,Text,4876,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Reach For The Stars!
4697,152.4 BRA a,Text,4697,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Anger Management
4498,158.2,Text,4498,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,"Krisis Ada Dalam Dirimu, Inilah Cara Melawannya!"
6020,153 SUS p2,Text,6020,24 Mei2013,,,100-199,,Available,,,,,IDR,,,,Pemilihan Jiwa 2
5671,158.1,Text,5671,23 Juli 1993,,,100-199,,Available,,,,,IDR,,,,Manage Your Time!
1620,120 PAN m,Text,1620,14-Apr-93,,,100-199,,Available,,,,,IDR,,,,Meningkatkan Ketrampilan Otak Anak
7037,155.25 ZAL a,Text,7037,29-Apr-19,,,100-199,,Available,,,,,IDR,,,,Aku Disleksia
6705,155.25 KIN j,Text,6705,23 Mei 20174,,,100-199,,Available,,,,,IDR,,,,Jadi Penulis NonFiksi? Gampang Kok!!!
6995,155.25 KIN j,Text,6995,10-Nov-18,,,100-199,,Available,,,,,IDR,,,,Jadi Penulis NonFiksi? Gampang Kok!!!
2152,170 SUR a,Text,2152,23 Agustus 1995,,,100-199,,Available,,,,,IDR,,,,Ajaran-Ajaran Ki Ageng Suryomentaram III
6845,153 TIM k,Text,6845,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Kreativitas  Itu Dipraktekan
6519,155 SIA a,Text,6519,5 Juni 2010,,,100-199,,Available,,,,,IDR,,,,All About Teens
3667,152.4 ETT m,Text,3667,11 Mei 2005,,,100-199,,Available,,,,,IDR,,,,Mengelola Emosi
3288,153.8 WIC s,Text,3288,19-Sep-02,,,100-199,,Available,,,,,IDR,,,,Self-Care For Every Day
6864,153 UTO t,Text,6864,11 Agustus 2017,,,100-199,,Available,,,,,IDR,,,,The Lost Secret Of Success
5088,155.5 PEL t,Text,5088,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,The Compleat Courtship
6021,153 SUS p3,Text,6021,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,Pemulihan Jiwa 3
4882,152.4,Text,4882,11/11/2025,,,100-199,,Available,,,,,IDR,,,,Buka Dulu Topengmu
0952,140 LEA m,Text,0952,22-Nov-86,,,100-199,,Available,,,,,IDR,,,,Manusia Dihadapan Allah 3 Kosmos Manusia Dan Allah
4028,155.5 HIP b,Text,4028,9-Sep-06,,,100-199,,Available,,,,,IDR,,,,Bete? No Way!!
5086,155.2 SOE m,Text,5086,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,Mengenal Potensi Anak Melalui Tulisan Tangan
3595,155.4 LIG l,Text,3595,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,50 cara Efektif Menanamkan Tingkah laku Positif Pada Anak
6477,128 TIM s,Text,6477,25-Nov-15,,,100-199,,Available,,,,,IDR,,,,SerBu Susi
5932,158.4 DWI s,Text,5932,20 Februari 2013,,,100-199,,Available,,,,,IDR,,,,Siap Jadi Pemimpin? 
6627,128 KMA t,Text,6627,13 Februari 2017,,,100-199,,Available,,,,,IDR,,,,Teknik Membaca Textbook Dan Penterjemah
6648,128 FIT s,Text,6648,7-Apr-17,,,100-199,,Available,,,,,IDR,,,,Super memory  Kini Anda Pun Bisa Memilikinya
6693,153.8 SAP i,Text,6693,23 Mei 20174,,,100-199,,Available,,,,,IDR,,,,Inspiring Stories : 150 Kisah Untuk Menguatkan Hidup Anda
5895,158.2 CUN p,Text,5895,17 Oktober 2012,,,100-199,,Available,,,,,IDR,,,,Pure Wisdom
6849,150,Text,6849,17 juli 2017,,,100-199,,Available,,,,,IDR,,,, Be Positive
6558,128 CAR s,Text,6558,19-Sep-16,,,100-199,,Available,,,,,IDR,,,,Sukses Berkomunikasi
3857,155.5 KNI j,Text,3857,31 Mei 2006,,,100-199,,Available,,,,,IDR,,,,Jadi Kamu Sudah Remaja ?
5342,158.4 BIR i,Text,5342,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Instan Leadership
5071,155.2 GRU p,Text,5071,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Panduan Bagi Remaja Gadis Yang Beranjak Dewasa
