item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
5513,031 JAW e,Reference,5513,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5316,031 JAW e,Reference,5316,9/27/2010,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3650,020.6 DAR m,Text,3650,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4896,005 SAE p,Text,4896,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3664,001CLA b,Text,3664,11 Mei 2005,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4364,001 MOO b,Text,4364,11/2/2007,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5927,031 TIM e,Reference,5927,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6962,030 TIM w,Text,6962,9/25/2018,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5512,031 JAW e,Reference,5512,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4633,005 PUR p,Text,4633,17 Juni 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4029,005 SUT p,Text,4029,9/12/2006,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,006.60 KAS p,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4692,5,Text,4692,2 Juli 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4536,005 TIM m,Text,4536,21 Mei 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6860,005 RUM m,Text,6860,17 Juli 2017,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,006.639 TIM k,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7513,070.5 Har p,Text,7513,11/17/2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4121,005 FIR a,Text,4121,10 Maret 2007,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5822,070.1 TIM k,Text,5822,7 Mei 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7730,028 MAL m,Text,7730,24 Februari 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4927,070.1 TIM d,Text,4927,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5605,070.4 TIM w,Text,5605,4/29/2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7746,004 PAN i,Text,7746,21 Maret 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5573,31,Reference,5573,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7548,004 RAF s,Text,7548,21 Februari 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6956,030 AQI e,Reference,6956,9/25/2018,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
259,003 CAR c,Text,259,10 Sgustus 1984,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,070. TIM r,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7462,070.1 TIM i,Serial,7462,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
