414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
7433,070.1 TIM r,Serial,,10 Februari 2021,,,000-099,,Available,,,,,IDR,,,,Majalah Rumah Tangga Kesehatan Jan.2021
7434,070.1 TIM r,Serial,,10 Februari 2021,,,000-099,,Available,,,,,IDR,,,,Majalah Rumah Tangga Kesehatan Feb.2021
7435,070.1 TIM r,Serial,,10 Februari 2021,,,000-099,,Available,,,,,IDR,,,,Majalah Rumah Tangga Kesehatan Maret2021
4643,028 BUZ b,Text,,16 Mei 2009,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Mind Map Untuk Anak 
5513,031 JAW e,Reference,,3 Maret 2011,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Galaksi Dan Atmosfer
5316,031 JAW e,Reference,,27-Sep-10,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Matahari dan Bulan
3650,020.6 DAR m,Text,,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,,,Manajemen Da tata Kerja Perpustakaan sekolah
4896,005 SAE p,Text,,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,,,Pengolahan Grafik & Ilustrasi Corel Draw!6
3664,001CLA b,Text,,11 Mei 2005,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Ilmu pengetahuan
4364,001 MOO b,Text,,2-Nov-07,,,000-099,,Available,,,,,IDR,,,,Bagaimana Membuat Proyek Ilmu Pengetahuanmu Menjadi Ilmiah
5927,031 TIM e,Reference,,20 Februari 2013,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Anak Serangga Dan Laba-Laba
6962,030 TIM w,Text,,25-Sep-18,,,000-099,,Available,,,,,IDR,,,,Wonderful World 1
5512,031 JAW e,Reference,,3 Maret 2011,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Bumi & Kehidupan
4633,005 PUR p,Text,,17 Juni 2008,,,000-099,,Available,,,,,IDR,,,,"Panduan Belajar Otodidak Microsoft Power Point 2007 :Mudah, Praktis, dan Lengkap"
4029,005 SUT p,Text,,12-Sep-06,,,000-099,,Available,,,,,IDR,,,,Panduan Lengkap Wordperfect For Windows Versi 5.2
-,006.60 KAS p,Text,,-,,,000-099,,Available,,,,,IDR,,,,Petunjuk Praktis Pemakaian Word Star 7
4692,005,Text,,2 Juli 2008,,,000-099,,Available,,,,,IDR,,,,Langkah Mudah Meraup Dolar Lewat Internet
4536,005 TIM m,Text,,21 Mei 2008,,,000-099,,Available,,,,,IDR,,,,Microsoft Powerpoint 2007 Untuk menyusun Presentasi Profesional
6860,005 RUM m,Text,,17 Juli 2017,,,000-099,,Available,,,,,IDR,,,,makin gaul Dengan Google+
-,006.639 TIM k,Text,,-,,,000-099,,Available,,,,,IDR,,,,Kumpulan Soal Ujian Nasional Komputer Diklusemas Word Star
7513,070.5 Har p,Text,,17-Nov-21,,,000-099,,Available,,,,,IDR,,,,Penulisan Buku Ajar Yang baik Dan Produktif 
4121,005 FIR a,Text,,10 Maret 2007,,,000-099,,Available,,,,,IDR,,,,Aplikasi Perkantoran Dengan Microsoft Word 2002 &  Microsoft Excel 2002
5822,070.1 TIM k,Text,,7 Mei 2012,,,000-099,,Available,,,,,IDR,,,,Kuark Kelas Olimpiade
7730,028 MAL m,Text,,24 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Membangun Generasi Aktif Literasi
-,-,Serial,,-,,,000-099,,Available,,,,,IDR,,,,Kuasa Doa majalah Rohani Bulanan
,,Text,,-,,,000-099,,Available,,,,,IDR,,,,Kuark Kelas Olimpiade
4927,070.1 TIM d,Text,,4 Desember 2009,,,000-099,,Available,,,,,IDR,,,,National Geographic  : Detak Bumi
