title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Ensiklopedia indonesia Provinsi Kalimantan Tengah,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Kalimantan Timur ,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Kalimantan Utara ,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Nusa Tenggara Barat,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Nusa Tenggara Timur,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Papua,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Teknologi Komputer ,Reference,,,Andi,2019,,,30,Indonesia,yogyakarta,30,,,,TIM ,
200 Tokoh Inspiratif Penemu & Pengubah Dunia,Text,,,Andi,2014,,,153.8 TIM d,Indonesia,Yogyakarta,153.8,,,,Ismadi & Eri Andwiatwoni,
The 7 habits Of Highly Effective Teens,Text,,,Binarupa Aksara,2001,,,158.2 COV t,Indonesia,Jakarta,158.2,,,,Sean Covey,
The 8th Habit,Text,,,Gramedia,2005,,,158.2 COV t,Indonesia,Jakarta,158.2,,,,Stephen R. Covey,
Terapi Berpikir Positif,Text,,,Zaman,2009,,,150 ELF t,Indonesia,Jakarta,150,,,,Dr. Ibrahim Elfiky,
Dasyatnya Sidik Jari ,Text,,,VisiMedia,2010,,,155.2 MIS d,Indonesia,Jakarta,155.2,,,,Ifa H. Misbach,
Metode Jitu Meningkatkan Daya Ingat,Text,,,Tangga Pustaka,2008,,,155.2 HAR m,Indonesia,Jakarta,155.2,,,,Deasy Harianti,
Kiat Menjadi Pemenang,Text,,,PT. Indeks,1998,,,158.1 KHE k,Indonesia,Jakarta,158.1,,,,Shiv Khera,
The Secret Of Mindset,Text,,,Gramedia,2008,,,154.7 GUN t,Indonesia,Jakarta,154.7,,,,Adi W. Gunawan,
The Whole - Brain Solution,Text,,,Grasindo,2009,,,153 ARM t,Indonesia,Jakarta,153,,,,Tricia Armstrong,
Mengembangkan Kecerdasan Emosional Anak,Text,,,Gramedia,2008,,,158.1 GOT m,Indonesia,Jakarta,158.1,,,,"John Gottman, Ph.D",
Buku Pintar Mind Map,Text,,,Gramedia,2006,,,153.1 BUZ,Indonesia,Jakarta,153.1,,,,Tony Buzan,
Inspirasi Tanpa Menggurui,Text,,,Shira Media,2017,,,128 WIJ i,Indonesia,Yogyakarta,128,,,,Cahyo Satria Wijaya,
Manage Your Time!,Text,,,Prestasi Pustaka,2008,,,158.1 BUR m,Indonesia,Jakarta,158.1,,,,Peter Burns,
Disiplin Tanpa Teriakan Atau Pukulan,Text,,,Binarupa Aksara,1994,,,121 WCY d,Indonesia,Jakarta,121,,,,"Jerry Wyckoff, Ph.D",
Team Building,Text,,,Andi,2006,,,158.4 SOE t,Indonesia,Yogyakarta,158.4,,,,Adi Soenarno,
Reach For The Stars!,Text,,,Gloria Ghaffa,2004,,,158.2 GRA r,Indonesia,Yogyakarta,158.2,,,,Alice Gray,
Anger Management,Text,,,Prestasi Pustaka,2008,,,152.4 BRA a,Indonesia,Jakarta,152.4,,,,"Nathalie Branden, Ph.D",
"Krisis Ada Dalam Dirimu, Inilah Cara Melawannya!",Text,,,Diva Press,2009,,,158.2,Indonesia,Yogyakarta,158.2,,,,Jaisy Muhammad,
Pemilihan Jiwa 2,Text,,,TransMedia,2012,,,153 SUS p2,Indonesia,Jakarta,153,,,,Dedy Susanto,
Manage Your Time!,Text,,,Prestasi Pustaka,2008,,,158.1,Indonesia,Jakarta,158.1,,,,Peter Burns,
Meningkatkan Ketrampilan Otak Anak,Text,,,Pionir Jaya,1992,,,120 PAN m,Indonesia,Bandung,120,,,,Drs. Padji,
Aku Disleksia,Text,,,Andi,2019,,,155.25 ZAL a,Indonesia,Yogyakarta,155.25,,,,Diba Tesi Zalziyati,
