item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
4879,070.4 NUR m,Serial,4879,8/12/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
178,070.4 WIR m,Text,178,4/24/1996,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7433,070.1 TIM r,Serial,7433,2/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7434,070.1 TIM r,Serial,7434,2/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7435,070.1 TIM r,Serial,7435,2/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4643,028 BUZ b,Text,4643,5/16/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5513,031 JAW e,Reference,5513,3/3/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5316,031 JAW e,Reference,5316,9/27/2010,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3650,020.6 DAR m,Text,3650,10/27/2004,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4896,005 SAE p,Text,4896,8/12/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3664,001CLA b,Text,3664,5/11/2005,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4364,001 MOO b,Text,4364,11/2/2007,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5927,031 TIM e,Reference,5927,2/20/2013,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6962,030 TIM w,Text,6962,9/25/2018,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5512,031 JAW e,Reference,5512,3/3/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4633,005 PUR p,Text,4633,6/17/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
