item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
3410,005 ARI w,Text,3410,29 Februari 2004,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Word Star 7.0 Untuk Pengetikan Sehari-hari
7140,070.4 ISN m,Text,7140,20 oktober 2019,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Menulis Berita Di Media Massa & Produksi Feature
7148,070.4 NUR d,Text,7148,28 Oktober 2019,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Deadline Menaklukan  Rintangan menulis Berita Televisi
5218,001.4 MIL a,Text,5218,27 Juli 2010,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Analisis Data Kualitatif 
6542,028 TIM s,Text,6542,5 Agustus 2016,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Semua Bisa Beraksi
6549,028 PAL s,Text,6549,5 Agustus 2016,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,SOP Standar Operasional Prosedur
3413,006.4 TIM t,Text,3413,2004-04-23,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Terampil Memanfaatkan Komputer Dalam jaringan
4879,070.4 NUR m,Serial,4879,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Membina majalah Dinding
178,070.4 WIR m,Text,178,1996-04-24,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Menulis Karangan Untuk Pers
7433,070.1 TIM r,Serial,7433,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Rumah Tangga Kesehatan Jan.2021
7434,070.1 TIM r,Serial,7434,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Rumah Tangga Kesehatan Feb.2021
7435,070.1 TIM r,Serial,7435,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Rumah Tangga Kesehatan Maret2021
4643,028 BUZ b,Text,4643,16 Mei 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Buku Pintar Mind Map Untuk Anak 
